t_index term df
870 barbar 2
871 barbara 24
872 barber 1
873 barbershop 1
874 barcelona 1
875 bare 46
876 barefacedli 1
877 barent 36
878 barg 3
879 bargain 9
880 bari 1
881 bark 1
882 barkina 2
883 barkolla 1
884 barkova 3
885 barna 4
886 barney 1
887 barnstorm 1
888 barot 1
889 barov 1
890 barr 2
891 barrack 35
892 barrag 2
893 barrel 2
894 barrera 2
895 barri 1
896 barricad 18
897 barrier 12
898 bartlett 1
899 barua 5
900 base 188
901 basebal 5
902 baselin 16
903 basement 1
904 basher 1
905 bashraheel 1
906 bashrahel 1
907 basi 15
908 basic 43
909 basilica 1
910 bask 2
911 basket 3
912 basketbal 1
913 basset 1
914 bassiouni 1
915 bastion 6
916 batch 1
917 bath 4
918 bathroom 3
919 bathtub 1
920 batic 2
921 baton 4
922 battalion 3
923 batten 1
924 batter 8
925 batteri 2
926 battl 78
927 battlefield 4
928 battleground 8
929 bauman 6
930 bautista 1
931 bavaria 1
932 bay 7
933 bazaar 1
934 bbc 29
935 be 641
936 beach 17
937 beachfront 1
938 bead 1
939 beal 1
940 beam 14
941 bean 3
942 bear 23
943 beard 20
944 bearer 2
945 beat 79
946 beaten 31
947 beater 3
948 beaumont 1
949 beauti 6
950 beaver 1
951 becam 104
952 becaus 354
953 becausec 1
954 beci 2
955 becker 1
956 becom 115
957 bed 35
958 bedanova 2
959 bedi 12
960 bedouin 1
961 bedroom 6
962 bedsheet 1
963 beef 6
964 been 448
965 beer 2
966 befit 1
967 befor 391
968 befriend 1
969 befuddl 1
970 beg 4
971 began 156
972 beggar 1
973 begin 151
974 begun 31
975 behalf 8
976 behan 1
977 behari 3
978 behav 9
979 behavior 11
980 behind 155
981 beholden 3
982 beij 3
983 beirut 9
984 bekki 3
985 belaru 1
986 belch 1
987 beleagu 3
988 belgian 5
989 belgium 6
990 belgrad 100
991 beli 1
992 belida 3
993 belief 17
994 believ 292
995 belittl 1
996 bell 4
997 belliger 1
998 belong 31
999 belov 5
1000 below 5
1001 belt 8
1002 bema 2
1003 bemoan 1
1004 ben 5
1005 bench 4
1006 benchmark 1
1007 bend 2
1008 beneath 31
1009 benefactor 2
1010 benefici 1
1011 beneficiari 1
1012 benefit 17
1013 benevol 7
1014 benign 1
1015 benin 8
1016 benito 1
1017 benjamin 2
1018 bennett 1
1019 benni 1
1020 bent 13
1021 benton 1
1022 bequeath 1
1023 berat 1
1024 bere 1
1025 beresich 1
1026 beretta 1
1027 bergen 1
1028 berger 25
1029 berlin 8
1030 bernstein 2
1031 bershard 1
1032 bershevski 1
1033 berth 2
1034 beschloss 1
1035 beset 2
1036 besid 27
1037 besieg 4
1038 bespectacl 2
1039 best 101
1040 bet 5
1041 beta 8
1042 beth 1
1043 betray 4
1044 betrisia 1
1045 better 119
1046 between 20
1047 bevan 1
1048 beveneari 1
1049 bewild 1
1050 beyond 37
1051 bhaba 2
1052 bhachau 4
1053 bhagat 1
1054 bhakta 1
1055 bharatiya 3
1056 bharpi 3
